,Country/Region,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,WHO Region,Daily Growth Rate of Cases (%),Daily Growth Rate of Deaths (%),Cases per 1M Population,DeathRate,RecoveryRate,HighMortalityRisk,SurvivalRate
176,Cayman Islands,North America,65798.0,203,0.0,1.0,0.0,202.0,0.0,0.0,0.0,3085.0,15.0,31108.0,472780.0,0,0.0,0.0,0.0030852001580595153,0.0049261083743842365,0.9950738916256158,False,True
177,Gibraltar,Europe,33690.0,190,0.0,0.0,0.0,184.0,0.0,6.0,0.0,5640.0,0.0,23063.0,684565.0,0,0.0,,0.005639655684179281,0.0,0.968421052631579,False,True
178,Papua New Guinea,Australia/Oceania,8963009.0,163,0.0,3.0,0.0,53.0,0.0,107.0,0.0,18.0,0.3,10808.0,1206.0,WesternPacific,0.0,0.0,1.818585700404853e-05,0.018404907975460124,0.32515337423312884,False,False
179,Sint Maarten,North America,42924.0,160,0.0,16.0,0.0,64.0,0.0,80.0,3.0,3728.0,373.0,1115.0,25976.0,0,0.0,0.0,0.0037275184046221227,0.1,0.4,True,False
180,Bermuda,North America,62254.0,157,0.0,9.0,0.0,144.0,0.0,4.0,0.0,2522.0,145.0,26352.0,423298.0,Americas,0.0,0.0,0.0025219263019243742,0.05732484076433121,0.9171974522292994,True,True
181,Brunei ,Asia,437893.0,141,0.0,3.0,0.0,138.0,0.0,0.0,0.0,322.0,7.0,41148.0,93968.0,0,0.0,0.0,0.00032199646945715047,0.02127659574468085,0.9787234042553191,False,True
182,Barbados,North America,287411.0,133,0.0,7.0,0.0,100.0,0.0,26.0,0.0,463.0,24.0,12233.0,42563.0,Americas,0.0,0.0,0.00046275194755941837,0.05263157894736842,0.7518796992481203,True,True
183,Turks and Caicos,North America,38768.0,129,0.0,2.0,0.0,39.0,0.0,88.0,3.0,3327.0,52.0,1252.0,32295.0,0,0.0,0.0,0.003327486586875774,0.015503875968992248,0.3023255813953488,False,False
184,Seychelles,Africa,98408.0,126,0.0,0.0,0.0,124.0,0.0,2.0,0.0,1280.0,0.0,0.0,0.0,Africa,0.0,,0.0012803837086415738,0.0,0.9841269841269841,False,True
185,Monaco,Europe,39270.0,125,0.0,4.0,0.0,105.0,0.0,16.0,2.0,3183.0,102.0,38209.0,972982.0,Europe,0.0,0.0,0.003183091418385536,0.032,0.84,True,True
